project,commit,old_file,file_size,new_files_num,new_files
FFmpeg,b275500706ac3a20ac59bdb6ee080dc32f3254cf,libavcodec/bitstream.h,77,2,"[{'file_name': 'libavcodec/bitstream.h', 'file_size': 62, 'moved_size': 62}, {'file_name': 'libavcodec/put_bits.h', 'file_size': 16, 'moved_size': 15}]"
esp-idf,fd3a1ffc21027f8c37745fa92780befb0b0abcd5,components/driver/include/driver/mcpwm.h,77,2,"[{'file_name': 'components/driver/deprecated/driver/mcpwm.h', 'file_size': 38, 'moved_size': 38}, {'file_name': 'components/driver/deprecated/driver/mcpwm_types_legacy.h', 'file_size': 41, 'moved_size': 39}]"
reactos,bc01cef03a10c7b7059484790307cc5f16bdafbf,dll/win32/wininet/internet.h,78,2,"[{'file_name': 'dll/win32/wininet/internet.h', 'file_size': 65, 'moved_size': 65}, {'file_name': 'dll/win32/wininet/precomp.h', 'file_size': 10, 'moved_size': 9}]"
git,d1cbe1e6d8a9cab2b4ffe8a17d34db214dce1e49,hash.h,79,2,"[{'file_name': 'hash-ll.h', 'file_size': 64, 'moved_size': 63}, {'file_name': 'hash.h', 'file_size': 16, 'moved_size': 16}]"
FFmpeg,86ab7b0f2fc1e32924603731be9fdee0854f9e7e,libswscale/swscale.h,79,2,"[{'file_name': 'libswscale/swscale.h', 'file_size': 70, 'moved_size': 70}, {'file_name': 'libswscale/version.h', 'file_size': 10, 'moved_size': 9}]"
FFmpeg,05020c89eb4485d5b9c4a2a926b6e02c2ccd6358,libavutil/common.h,82,2,"[{'file_name': 'libavutil/common.h', 'file_size': 44, 'moved_size': 44}, {'file_name': 'libavutil/internal.h', 'file_size': 39, 'moved_size': 38}]"
vlc,4d802e182e835fef96ad7e6c0c5fbd155054b9c5,include/vlc_input.h,87,2,"[{'file_name': 'include/vlc_input.h', 'file_size': 35, 'moved_size': 35}, {'file_name': 'include/vlc_input_item.h', 'file_size': 52, 'moved_size': 51}]"
netdata,66c47355b4c0a33f7cef0615fe7331bbce463361,web/server/web_client.h,88,2,"[{'file_name': 'libnetdata/http/http_defs.h', 'file_size': 17, 'moved_size': 16}, {'file_name': 'web/server/web_client.h', 'file_size': 72, 'moved_size': 72}]"
openssl,af16097febcd4fa31cd5fcd05ad09cf8b53659ea,include/internal/cryptlib.h,92,2,"[{'file_name': 'include/internal/common.h', 'file_size': 23, 'moved_size': 22}, {'file_name': 'include/internal/cryptlib.h', 'file_size': 70, 'moved_size': 70}]"
postgres,8da9a226369e9ceec7cef1ab7a16cdc0adb4d657,src/include/access/gist_private.h,96,2,"[{'file_name': 'src/include/access/gist_private.h', 'file_size': 85, 'moved_size': 85}, {'file_name': 'src/include/access/gistxlog.h', 'file_size': 12, 'moved_size': 11}]"
